Tiempo	LacI	TetR	cI
114.461	49.4582	3.91176	3.88868
114.789	47.7822	3.68193	4.31603
115.118	46.0009	3.46696	4.79707
115.446	44.1446	3.26598	5.33711
115.775	42.2412	3.07816	5.94174
116.103	40.3154	2.90274	6.61686
116.432	38.3887	2.73902	7.36854
116.76	36.4796	2.58634	8.20297
117.089	34.6029	2.44412	9.12638
117.417	32.771	2.31179	10.1449
117.746	30.9932	2.18887	11.2642
118.074	29.2766	2.0749	12.4897
118.403	27.6264	1.96948	13.8259
118.731	26.0457	1.87226	15.2765
119.06	24.5364	1.78293	16.8439
119.388	23.0994	1.70123	18.5289
119.717	21.7342	1.62696	20.3305
120.045	20.4399	1.55995	22.2456
120.374	19.2149	1.5001	24.2687
120.702	18.0573	1.44736	26.3916
121.046	16.916	1.3998	28.7067
121.39	15.8429	1.3601	31.1028
121.751	14.7832	1.32695	33.6919
122.113	13.792	1.30297	36.3214
122.475	12.8657	1.28855	38.9594
122.837	12.0006	1.28421	41.5704
123.199	11.1931	1.2906	44.1149
123.561	10.4397	1.30854	46.5511
123.922	9.73707	1.33898	48.8351
124.284	9.08208	1.38309	50.9227
124.646	8.47165	1.44223	52.7706
125.008	7.90291	1.518	54.3382
125.37	7.37313	1.61224	55.5896
125.731	6.87976	1.72707	56.4959
126.093	6.42037	1.86495	57.0368
126.418	6.03544	2.01045	57.2029
126.742	5.67449	2.17898	57.0676
127.067	5.33608	2.37304	56.6391
127.391	5.01885	2.59543	55.9323
127.716	4.72152	2.84925	54.9686
128.04	4.44289	3.13791	53.7739
128.365	4.18184	3.46514	52.3781
128.689	3.93732	3.83503	50.8129
129.014	3.70834	4.25199	49.1105
129.338	3.49397	4.72077	47.3026
129.663	3.29337	5.24647	45.4193
129.987	3.10572	5.83447	43.4879
130.312	2.93028	6.49044	41.5332
130.636	2.76637	7.22023	39.5766
130.961	2.61334	8.02987	37.6364
131.285	2.47059	8.92539	35.7278
131.61	2.3376	9.91278	33.863
131.934	2.21387	10.9978	32.0517
132.258	2.09895	12.1857	30.301
132.583	1.99243	13.4813	28.6163
132.907	1.89396	14.8884	27.001
133.232	1.80323	16.4098	25.4572
133.556	1.71997	18.047	23.9857
133.881	1.64395	19.7998	22.5865
134.205	1.575	21.6659	21.2586
134.53	1.513	23.6412	20.0006
134.854	1.45786	25.7188	18.8105
135.195	1.40733	28.0007	17.6314
135.536	1.36437	30.3709	16.522
135.894	1.32752	32.9374	15.4279
136.252	1.29939	35.5571	14.4037
136.63	1.27951	38.3457	13.3952
137.007	1.27019	41.1226	12.456
137.385	1.27209	43.8447	11.582
137.763	1.28605	46.4654	10.769
138.14	1.31307	48.9352	10.013
138.518	1.3544	51.2038	9.31049
138.853	1.40429	53.0095	8.72836
139.189	1.4678	54.5836	8.18317
139.524	1.54633	55.8956	7.67268
139.859	1.64145	56.9195	7.19476
140.195	1.75494	57.6349	6.74742
140.53	1.88885	58.0287	6.32877
140.866	2.04544	58.0956	5.93701
141.201	2.2273	57.8389	5.57049
141.536	2.4373	57.2703	5.22762
141.872	2.67863	56.4093	4.90694
142.207	2.95484	55.2821	4.60705
142.543	3.26984	53.9198	4.32667
142.878	3.62792	52.3568	4.06458
143.213	4.03376	50.6292	3.81965
143.549	4.49244	48.7727	3.59082
143.884	5.0094	46.8218	3.37712
144.22	5.59048	44.8085	3.17762
144.555	6.24181	42.7614	2.99148
144.89	6.96984	40.7059	2.81791
145.226	7.78117	38.6632	2.65617
145.561	8.68251	36.6514	2.50561
145.897	9.68054	34.6848	2.3656
146.232	10.7817	32.7747	2.23559
146.568	11.9921	30.9296	2.11507
146.903	13.3171	29.1555	2.00358
147.238	14.7612	27.4566	1.90072
147.574	16.3278	25.8353	1.80612
147.909	18.0186	24.2924	1.7195
148.245	19.8337	22.8279	1.6406
148.58	21.7708	21.4407	1.56921
148.915	23.8252	20.1292	1.5052
149.251	25.9895	18.8911	1.44848
149.586	28.2533	17.7239	1.39902
149.936	30.7027	16.5803	1.35525
150.285	33.2261	15.5072	1.31951
150.655	35.9515	14.4445	1.29065
